city,province,year,total_precipitation_mm,total_rain_mm,total_snowfall_cm,total_precip_hours,rainy_days,heavy_rain_days_gt25mm,very_heavy_days_gt50mm,extreme_days_gt100mm,max_daily_precip_mm,avg_daily_precip_mm
Lahore,Punjab,2010,570.3,570.3,0.0,706.0,126,3,0,0,39.3,1.56
Lahore,Punjab,2011,606.1,606.1,0.0,738.0,146,4,0,0,36.2,1.66
Lahore,Punjab,2012,458.3,458.3,0.0,678.0,148,1,0,0,28.5,1.25
Lahore,Punjab,2013,700.8,700.8,0.0,799.0,139,4,1,0,95.5,1.92
Lahore,Punjab,2014,649.1,649.1,0.0,715.0,143,3,2,0,94.9,1.78
Lahore,Punjab,2015,778.6,778.6,0.0,901.0,146,3,1,0,50.5,2.13
Lahore,Punjab,2016,508.6,508.6,0.0,591.0,124,3,0,0,37.8,1.39
Lahore,Punjab,2017,597.4,597.4,0.0,683.0,151,3,1,1,141.6,1.64
Lahore,Punjab,2018,585.2,585.2,0.0,618.0,135,3,2,1,100.3,1.6
Lahore,Punjab,2019,557.8,557.8,0.0,800.0,148,2,0,0,31.6,1.53
Lahore,Punjab,2020,534.3,534.3,0.0,712.0,127,0,0,0,23.7,1.46
Lahore,Punjab,2021,351.9,351.9,0.0,496.0,114,1,0,0,42.6,0.96
Lahore,Punjab,2022,662.5,662.5,0.0,641.0,119,4,0,0,39.8,1.82
Lahore,Punjab,2023,782.5,782.5,0.0,622.0,137,7,0,0,38.3,2.14
Lahore,Punjab,2024,653.7,653.7,0.0,542.0,118,6,1,0,93.9,1.79
Lahore,Punjab,2025,931.9,931.9,0.0,694.0,124,11,3,0,63.1,2.55
Lodhran,Punjab,2000,113.5,113.5,0.0,163.0,44,0,0,0,22.0,0.31
Lodhran,Punjab,2001,175.2,175.2,0.0,237.0,63,0,0,0,15.9,0.48
Lodhran,Punjab,2002,79.4,79.4,0.0,138.0,49,0,0,0,14.5,0.22
Lodhran,Punjab,2003,336.8,336.8,0.0,344.0,70,2,2,0,73.9,0.92
Lodhran,Punjab,2004,131.7,131.7,0.0,210.0,55,0,0,0,24.2,0.36
